64
1 2 3
1 2 3
1 2 3
31 2 3
1 2 3
1 62 3
1 2 3
31 62 3
1 2 3
1 2 93
1 2 3
31 2 93
1 2 3
1 62 93
1 2 3
31 62 93
1 2 3
14 2 3
1 2 3
434 2 3
1 2 3
14 62 3
1 2 3
434 62 3
1 2 3
14 2 93
1 2 3
434 2 93
1 2 3
14 62 93
1 2 3
434 62 93
1 2 3
1 15 3
1 2 3
31 15 3
1 2 3
1 465 3
1 2 3
31 465 3
1 2 3
1 15 93
1 2 3
31 15 93
1 2 3
1 465 93
1 2 3
31 465 93
1 2 3
14 15 3
1 2 3
434 15 3
1 2 3
14 465 3
1 2 3
434 465 3
1 2 3
14 15 93
1 2 3
434 15 93
1 2 3
14 465 93
1 2 3
434 465 93
1 2 3
1 2 16
1 2 3
31 2 16
1 2 3
1 62 16
1 2 3
31 62 16
1 2 3
1 2 496
1 2 3
31 2 496
1 2 3
1 62 496
1 2 3
31 62 496
1 2 3
14 2 16
1 2 3
434 2 16
1 2 3
14 62 16
1 2 3
434 62 16
1 2 3
14 2 496
1 2 3
434 2 496
1 2 3
14 62 496
1 2 3
434 62 496
1 2 3
1 15 16
1 2 3
31 15 16
1 2 3
1 465 16
1 2 3
31 465 16
1 2 3
1 15 496
1 2 3
31 15 496
1 2 3
1 465 496
1 2 3
31 465 496
1 2 3
14 15 16
1 2 3
434 15 16
1 2 3
14 465 16
1 2 3
434 465 16
1 2 3
14 15 496
1 2 3
434 15 496
